IPK,Penghasilan,Tanggungan,Prestasi,Semester,Status_Beasiswa
3.85,4512359,2,Ada,6,Layak
3.39,8704776,5,Tidak Ada,2,Tidak Layak
2.93,4831106,3,Tidak Ada,7,Tidak Layak
3.78,9722462,5,Ada,5,Layak
2.83,1901067,1,Ada,6,Layak
3.29,7494376,4,Ada,2,Layak
2.6,7770016,5,Ada,8,Layak
2.62,3734805,4,Tidak Ada,8,Tidak Layak
2.71,5674482,2,Tidak Ada,6,Tidak Layak
2.76,9460339,1,Ada,4,Tidak Layak
2.86,4270374,4,Tidak Ada,5,Tidak Layak
3.08,5609803,2,Tidak Ada,3,Tidak Layak
3.21,7047094,1,Tidak Ada,2,Tidak Layak
2.56,6354042,3,Tidak Ada,3,Tidak Layak
3.96,2853324,1,Ada,7,Layak
3.42,8510131,1,Ada,6,Layak
2.51,2869277,3,Tidak Ada,5,Tidak Layak
2.93,9722502,5,Ada,2,Tidak Layak
2.83,3733706,1,Ada,6,Layak
2.93,9232752,5,Ada,4,Tidak Layak
3.26,7337196,3,Tidak Ada,4,Tidak Layak
3.18,7057805,5,Ada,5,Layak
3.59,7345447,5,Ada,6,Layak
3.41,4845647,1,Ada,3,Layak
3.93,5304409,5,Tidak Ada,2,Layak
3.45,3020982,5,Ada,8,Layak
2.56,3664563,2,Tidak Ada,3,Tidak Layak
3.5,9512369,5,Ada,8,Layak
3.13,6559667,1,Ada,5,Layak
2.62,2872070,2,Ada,6,Layak
3.52,7170706,3,Ada,3,Layak
3.25,9994630,4,Ada,5,Tidak Layak
3.46,1970529,5,Tidak Ada,4,Layak
3.3,7994503,2,Ada,2,Layak
3.13,8481440,5,Ada,3,Layak
3.87,1708944,1,Ada,2,Layak
2.6,4394100,3,Tidak Ada,5,Tidak Layak
3.51,9848022,1,Ada,7,Tidak Layak
3.68,6254619,4,Tidak Ada,4,Layak
3.18,6402059,1,Ada,8,Layak
2.98,2219407,2,Ada,2,Layak
2.54,5387008,2,Tidak Ada,5,Tidak Layak
3.15,9957411,5,Tidak Ada,2,Tidak Layak
3.02,8433705,4,Tidak Ada,5,Tidak Layak
2.51,7510334,3,Tidak Ada,4,Tidak Layak
2.97,7252613,5,Tidak Ada,3,Tidak Layak
3.76,6201669,1,Ada,5,Layak
2.75,6717092,3,Ada,4,Layak
2.7,8569337,3,Tidak Ada,7,Tidak Layak
3.89,1876794,2,Ada,3,Layak
2.97,7907054,5,Tidak Ada,3,Tidak Layak
3.85,7799492,3,Ada,7,Layak
3.4,7549850,4,Ada,6,Layak
3.96,1935477,4,Ada,6,Layak
3.22,5827308,2,Ada,7,Layak
2.87,4579042,2,Tidak Ada,6,Tidak Layak
2.79,8398046,4,Ada,5,Tidak Layak
3.75,9483939,3,Ada,5,Layak
3.37,6801358,2,Ada,5,Layak
3.1,8633456,3,Tidak Ada,3,Tidak Layak
3.44,3681906,5,Ada,6,Layak
2.72,5774692,1,Ada,5,Layak
3.86,7789249,3,Tidak Ada,6,Tidak Layak
3.19,8999412,3,Ada,5,Tidak Layak
2.59,6088727,4,Ada,7,Layak
2.55,5183909,1,Ada,4,Layak
3.27,4570771,2,Tidak Ada,7,Tidak Layak
3.28,2409245,3,Ada,2,Layak
3.04,2662189,3,Tidak Ada,5,Layak
3.74,8213070,4,Ada,6,Layak
3.21,1625438,1,Tidak Ada,5,Layak
2.5,8199744,3,Ada,7,Tidak Layak
2.88,8339789,5,Ada,8,Layak
2.53,2706751,5,Tidak Ada,4,Tidak Layak
3.81,8469129,5,Tidak Ada,5,Tidak Layak
3.71,7582199,3,Tidak Ada,7,Tidak Layak
3.94,6013070,3,Ada,3,Layak
3.52,2978768,3,Ada,5,Layak
3.75,9057260,5,Tidak Ada,2,Tidak Layak
3.65,5002626,2,Ada,8,Layak
3.23,7053535,4,Tidak Ada,8,Tidak Layak
2.6,6500546,3,Tidak Ada,5,Tidak Layak
3.37,9045189,2,Tidak Ada,2,Tidak Layak
3.25,8143433,4,Tidak Ada,7,Tidak Layak
2.58,3774316,4,Tidak Ada,8,Tidak Layak
3.1,3832214,3,Tidak Ada,6,Tidak Layak
3.37,3750397,5,Ada,6,Layak
2.82,9226360,1,Ada,8,Tidak Layak
3.8,5029801,2,Tidak Ada,7,Layak
2.61,2695885,4,Ada,8,Layak
3.33,4242974,4,Ada,4,Layak
3.66,9566513,4,Ada,8,Layak
2.93,5863089,2,Ada,4,Layak
2.91,1941904,1,Ada,2,Layak
3.27,2337393,1,Ada,3,Layak
3.2,3763429,5,Tidak Ada,2,Layak
2.62,6653435,3,Ada,2,Tidak Layak
2.69,5141771,4,Tidak Ada,3,Tidak Layak
3.84,2460652,3,Ada,7,Layak
3.07,8485945,5,Ada,5,Layak
3.45,4644311,2,Ada,8,Layak
2.88,3695690,5,Ada,2,Layak
2.92,4482410,1,Tidak Ada,8,Tidak Layak
3.92,3964722,3,Tidak Ada,6,Layak
2.57,4401092,4,Tidak Ada,2,Tidak Layak
3.21,8382799,2,Tidak Ada,7,Tidak Layak
3.66,8259291,1,Ada,3,Layak
3.33,8951747,2,Tidak Ada,2,Tidak Layak
3.49,1618581,1,Tidak Ada,6,Layak
3.63,4860492,2,Ada,8,Layak
2.69,9813157,4,Tidak Ada,6,Tidak Layak
3.52,6010784,4,Ada,5,Layak
2.56,4787093,2,Ada,5,Layak
2.65,3838377,5,Ada,7,Layak
3.01,2237954,1,Ada,8,Layak
3.0,7434261,4,Tidak Ada,6,Tidak Layak
3.2,9063493,1,Tidak Ada,8,Tidak Layak
3.66,6032688,4,Tidak Ada,5,Layak
2.69,7180820,2,Ada,8,Tidak Layak
3.71,9720038,5,Ada,2,Layak
3.61,4107622,4,Ada,7,Layak
3.36,8742447,3,Ada,5,Layak
3.32,2998339,3,Ada,4,Layak
3.74,4411190,1,Tidak Ada,6,Layak
3.1,5871047,3,Ada,2,Layak
3.91,8927297,4,Ada,8,Layak
2.59,2262371,2,Tidak Ada,2,Tidak Layak
2.86,8000785,3,Ada,5,Tidak Layak
3.67,9472368,3,Tidak Ada,5,Tidak Layak
3.43,8130840,2,Ada,3,Layak
2.97,6587692,5,Tidak Ada,5,Tidak Layak
3.08,6939296,1,Ada,5,Layak
3.01,6818331,1,Ada,8,Layak
3.56,5448401,5,Tidak Ada,5,Layak
2.85,8350807,1,Tidak Ada,7,Tidak Layak
3.29,4092316,2,Ada,7,Layak
2.61,6938757,2,Tidak Ada,3,Tidak Layak
2.77,8228926,3,Tidak Ada,7,Tidak Layak
3.17,2703920,3,Ada,3,Layak
3.78,8428655,4,Ada,5,Layak
3.99,4872863,3,Tidak Ada,7,Layak
3.35,8927210,5,Ada,3,Layak
3.39,6866645,2,Tidak Ada,7,Tidak Layak
2.79,8603260,3,Ada,3,Tidak Layak
3.55,4397706,5,Tidak Ada,3,Layak
3.95,8007660,2,Tidak Ada,7,Tidak Layak
3.58,6853966,1,Ada,8,Layak
3.67,9490001,5,Tidak Ada,5,Tidak Layak
2.52,6765481,4,Ada,5,Layak
3.89,1781854,3,Ada,3,Layak
2.98,3157153,3,Tidak Ada,6,Layak
2.87,3306684,3,Tidak Ada,6,Tidak Layak
2.5,7784725,3,Tidak Ada,4,Tidak Layak
3.24,5801400,5,Ada,2,Layak
3.45,5270771,5,Tidak Ada,4,Layak
2.59,8597037,1,Tidak Ada,6,Tidak Layak
2.88,8260403,5,Ada,3,Layak
3.48,2301849,2,Ada,5,Layak
2.65,9111432,1,Ada,3,Tidak Layak
3.93,6777420,1,Ada,5,Layak
3.37,5041815,3,Ada,4,Layak
2.99,6851826,5,Tidak Ada,8,Tidak Layak
3.84,6413478,2,Tidak Ada,6,Tidak Layak
3.13,7710958,2,Tidak Ada,6,Tidak Layak
3.39,1725391,4,Tidak Ada,2,Layak
3.05,4035394,5,Ada,4,Layak
2.64,4791070,5,Tidak Ada,3,Tidak Layak
3.66,5967223,2,Tidak Ada,4,Tidak Layak
3.27,1637686,5,Tidak Ada,5,Layak
3.14,6649534,5,Tidak Ada,2,Tidak Layak
2.5,3527320,2,Tidak Ada,8,Tidak Layak
2.81,7830034,4,Tidak Ada,5,Tidak Layak
2.84,1545475,1,Ada,6,Layak
3.13,7983485,5,Ada,4,Layak
2.91,3031064,3,Ada,7,Layak
3.11,8966511,5,Tidak Ada,6,Tidak Layak
2.72,9159791,3,Ada,8,Tidak Layak
3.63,6396799,3,Tidak Ada,8,Tidak Layak
3.28,7507509,1,Ada,5,Layak
3.92,5945818,5,Ada,7,Layak
3.67,7763998,1,Ada,5,Layak
3.96,9647047,3,Tidak Ada,2,Tidak Layak
2.68,2037977,5,Tidak Ada,2,Layak
2.91,6284808,5,Ada,6,Layak
2.82,6154419,4,Ada,4,Layak
2.68,3622827,5,Ada,2,Layak
2.97,6007167,4,Tidak Ada,2,Tidak Layak
2.54,4387757,2,Ada,7,Layak
3.76,4070115,3,Ada,4,Layak
3.56,8681479,3,Ada,2,Layak
2.96,9212079,5,Tidak Ada,7,Tidak Layak
3.33,2208175,3,Ada,3,Layak
3.71,7389118,4,Tidak Ada,8,Tidak Layak
2.97,1519477,3,Ada,6,Layak
2.61,3059757,3,Tidak Ada,8,Tidak Layak
3.86,3381297,4,Tidak Ada,5,Layak
2.78,2635627,5,Ada,6,Layak
3.03,2353392,1,Ada,2,Layak
3.82,1654692,3,Ada,7,Layak
2.63,7647560,3,Tidak Ada,6,Tidak Layak
2.61,8289408,5,Tidak Ada,7,Tidak Layak
3.6,3068146,5,Tidak Ada,5,Layak
2.92,4371656,1,Tidak Ada,3,Tidak Layak
3.18,3826729,1,Tidak Ada,7,Tidak Layak
3.32,6899869,1,Ada,3,Layak
3.56,5166344,1,Ada,2,Layak
3.1,1559778,2,Tidak Ada,2,Layak
3.61,9206113,4,Tidak Ada,3,Tidak Layak
3.53,8413462,3,Ada,8,Layak
3.93,3285818,1,Tidak Ada,5,Layak
3.4,1789134,2,Tidak Ada,6,Layak
2.52,2237090,3,Tidak Ada,2,Tidak Layak
3.56,4216207,1,Ada,5,Layak
2.87,7604128,3,Tidak Ada,2,Tidak Layak
2.73,8187666,5,Ada,7,Layak
3.44,3322744,5,Tidak Ada,2,Layak
2.52,5343139,1,Ada,5,Layak
3.91,8946153,4,Ada,6,Layak
3.43,6340351,1,Tidak Ada,3,Tidak Layak
3.61,3588062,1,Tidak Ada,8,Layak
2.89,4977084,3,Ada,4,Layak
2.51,1544816,3,Ada,2,Layak
2.86,5364044,1,Ada,8,Layak
2.58,7362835,1,Ada,7,Tidak Layak
2.91,7796495,2,Tidak Ada,4,Tidak Layak
3.19,3650205,2,Ada,4,Layak
3.39,6252989,2,Tidak Ada,7,Tidak Layak
3.07,7141379,3,Ada,6,Layak
3.68,9627333,1,Ada,4,Layak
3.28,6702413,2,Ada,2,Layak
2.81,8266886,1,Tidak Ada,5,Tidak Layak
3.87,3427716,1,Tidak Ada,4,Layak
3.18,7259420,2,Ada,4,Layak
3.56,9317209,4,Tidak Ada,5,Tidak Layak
2.72,7969723,2,Tidak Ada,8,Tidak Layak
2.94,6607385,1,Ada,5,Layak
3.39,7439334,5,Ada,7,Layak
2.54,2815823,5,Ada,2,Layak
2.78,2173812,2,Ada,4,Layak
3.72,8116659,3,Ada,5,Layak
2.93,6710307,4,Tidak Ada,4,Tidak Layak
3.27,3207542,1,Ada,6,Layak
3.03,3349395,1,Ada,8,Layak
2.82,4638102,5,Tidak Ada,7,Tidak Layak
3.03,8921289,2,Ada,2,Tidak Layak
2.98,6717084,1,Tidak Ada,4,Tidak Layak
3.74,6799238,1,Tidak Ada,6,Tidak Layak
3.52,9964848,4,Ada,4,Layak
3.12,8081118,1,Ada,8,Tidak Layak
3.51,6203855,5,Ada,8,Layak
2.5,4244804,4,Tidak Ada,7,Tidak Layak
2.74,8041600,1,Tidak Ada,4,Tidak Layak
3.6,3225049,2,Ada,5,Layak
3.37,6772225,1,Tidak Ada,5,Tidak Layak
2.97,8122766,3,Tidak Ada,8,Tidak Layak
3.62,8370679,3,Ada,2,Layak
3.12,3109184,3,Ada,3,Layak
3.12,3828476,2,Tidak Ada,4,Tidak Layak
3.32,6613728,2,Ada,8,Layak
2.67,2226448,5,Tidak Ada,6,Layak
3.01,4366457,1,Ada,6,Layak
3.09,6411408,3,Ada,3,Layak
3.26,7095956,1,Ada,7,Layak
3.69,7390298,5,Ada,8,Layak
3.83,6360319,2,Tidak Ada,2,Tidak Layak
3.6,9930664,1,Ada,2,Tidak Layak
3.81,2837768,3,Tidak Ada,4,Layak
2.93,2906150,5,Ada,4,Layak
3.78,7796450,3,Ada,7,Layak
3.08,2993551,2,Tidak Ada,7,Layak
3.22,5339847,4,Ada,5,Layak
3.32,6819728,5,Tidak Ada,3,Tidak Layak
3.27,5522261,4,Tidak Ada,6,Tidak Layak
3.34,5149244,3,Ada,4,Layak
3.03,7682719,3,Ada,7,Layak
3.06,1850067,3,Tidak Ada,8,Layak
3.56,3867322,3,Tidak Ada,7,Layak
3.76,7543995,4,Tidak Ada,6,Tidak Layak
2.66,9156495,1,Tidak Ada,2,Tidak Layak
3.38,4549316,5,Tidak Ada,8,Layak
3.52,4460883,1,Ada,6,Layak
2.81,1782140,3,Ada,5,Layak
2.79,2058981,5,Tidak Ada,2,Layak
2.89,9183647,2,Tidak Ada,3,Tidak Layak
3.37,3453341,2,Tidak Ada,3,Layak
3.12,9403498,3,Ada,6,Tidak Layak
2.82,7736893,4,Tidak Ada,5,Tidak Layak
3.62,5123425,2,Tidak Ada,4,Tidak Layak
3.73,7798941,1,Tidak Ada,7,Tidak Layak
3.54,1684514,3,Tidak Ada,6,Layak
2.99,8796991,4,Ada,3,Tidak Layak
2.92,8171203,2,Ada,6,Tidak Layak
3.72,4426979,4,Tidak Ada,6,Layak
3.62,9076126,5,Ada,4,Layak
3.74,6368923,2,Tidak Ada,7,Tidak Layak
3.14,9430221,3,Tidak Ada,8,Tidak Layak
3.85,1774535,5,Tidak Ada,3,Layak
3.77,2417472,5,Tidak Ada,7,Layak
2.64,4721131,3,Ada,8,Layak
3.7,9283874,5,Ada,4,Layak
3.36,5946460,5,Ada,4,Layak
2.53,6017562,5,Ada,7,Layak
3.35,2693982,4,Tidak Ada,6,Layak
2.85,8048894,2,Ada,5,Tidak Layak
2.56,6577198,3,Tidak Ada,4,Tidak Layak
3.91,4732452,5,Ada,3,Layak
3.09,8386940,3,Ada,3,Layak
3.56,4571640,4,Tidak Ada,4,Layak
3.8,2450922,2,Ada,5,Layak
3.29,4499610,5,Ada,6,Layak
3.97,6101731,1,Tidak Ada,5,Tidak Layak
3.91,1918829,3,Tidak Ada,4,Layak
3.75,9017750,2,Tidak Ada,8,Tidak Layak
3.89,3043812,1,Ada,8,Layak
3.96,9448745,3,Ada,8,Layak
3.4,5973447,4,Tidak Ada,7,Tidak Layak
3.37,7639996,2,Tidak Ada,3,Tidak Layak
3.67,2884822,3,Ada,8,Layak
3.76,1743877,3,Tidak Ada,3,Layak
3.1,7286572,2,Ada,2,Layak
2.92,3358997,2,Ada,5,Layak
3.03,6688757,4,Tidak Ada,6,Tidak Layak
3.14,8413744,4,Tidak Ada,8,Tidak Layak
3.82,2764134,5,Ada,8,Layak
3.53,3394554,5,Ada,8,Layak
2.69,7230482,4,Ada,3,Layak
3.54,7843902,1,Tidak Ada,8,Tidak Layak
3.77,4121158,5,Ada,5,Layak
3.73,5730207,2,Tidak Ada,6,Tidak Layak
2.63,2990017,2,Ada,5,Layak
2.75,3034227,2,Tidak Ada,3,Tidak Layak
2.61,5609070,5,Tidak Ada,4,Tidak Layak
3.98,9915224,4,Tidak Ada,8,Tidak Layak
3.7,8692767,5,Tidak Ada,5,Tidak Layak
3.74,8791916,4,Ada,3,Layak
3.71,7417054,2,Ada,8,Layak
3.56,1634445,5,Tidak Ada,7,Layak
3.67,2371535,4,Tidak Ada,8,Layak
2.62,9127742,2,Ada,8,Tidak Layak
2.59,4242455,2,Ada,7,Layak
3.59,1795599,2,Ada,5,Layak
3.67,1616841,5,Ada,2,Layak
3.91,2351161,3,Ada,3,Layak
3.21,3138846,4,Tidak Ada,7,Layak
3.76,3302466,2,Tidak Ada,8,Layak
3.55,4627640,5,Ada,2,Layak
3.73,7173938,5,Ada,5,Layak
3.23,2419134,4,Tidak Ada,8,Layak
3.9,7989759,3,Tidak Ada,8,Tidak Layak
3.36,8700987,5,Tidak Ada,4,Tidak Layak
2.83,2817621,2,Tidak Ada,7,Tidak Layak
3.41,6553127,1,Tidak Ada,7,Tidak Layak
2.88,7491305,3,Tidak Ada,4,Tidak Layak
3.01,7387774,5,Ada,6,Layak
2.76,5320888,1,Ada,7,Layak
3.28,8065269,4,Ada,6,Layak
3.81,8072531,5,Ada,7,Layak
2.9,2730796,1,Tidak Ada,3,Tidak Layak
2.86,5780428,3,Tidak Ada,8,Tidak Layak
3.86,7752016,4,Ada,6,Layak
2.73,2778673,1,Tidak Ada,8,Tidak Layak
3.9,4957521,5,Tidak Ada,7,Layak
3.21,6544829,5,Tidak Ada,8,Tidak Layak
3.47,2267442,4,Ada,2,Layak
3.2,1994955,5,Ada,5,Layak
2.92,7596696,4,Ada,7,Layak
3.99,8089154,3,Tidak Ada,2,Tidak Layak
3.0,5102571,1,Ada,7,Layak
3.87,8539879,3,Tidak Ada,5,Tidak Layak
3.07,4354119,2,Tidak Ada,4,Tidak Layak
3.63,3588618,1,Ada,3,Layak
3.52,8259991,2,Tidak Ada,6,Tidak Layak
3.62,7619922,1,Ada,4,Layak
3.13,2248692,3,Tidak Ada,8,Layak
2.56,3114694,4,Ada,2,Layak
3.48,5381143,4,Tidak Ada,7,Layak
3.92,4874659,2,Ada,4,Layak
3.01,6680703,1,Ada,5,Layak
3.43,9349453,3,Tidak Ada,5,Tidak Layak
3.01,4997831,3,Tidak Ada,2,Tidak Layak
2.63,9833920,4,Tidak Ada,3,Tidak Layak
3.89,5031674,1,Ada,5,Layak
2.91,8292566,5,Ada,8,Layak
3.25,3926105,2,Ada,3,Layak
3.47,7561266,3,Tidak Ada,6,Tidak Layak
2.67,2044026,1,Ada,4,Layak
2.82,5972089,2,Ada,8,Layak
3.04,7418806,1,Tidak Ada,2,Tidak Layak
3.59,2660152,4,Ada,5,Layak
2.68,3865885,5,Ada,5,Layak
2.93,4214766,2,Tidak Ada,7,Tidak Layak
3.39,2574477,1,Ada,2,Layak
3.09,1797584,3,Tidak Ada,5,Layak
3.6,9520497,5,Tidak Ada,4,Tidak Layak
3.35,4852214,3,Tidak Ada,3,Tidak Layak
3.34,6881299,1,Tidak Ada,8,Tidak Layak
2.88,6142681,5,Ada,8,Layak
3.04,1927244,5,Ada,2,Layak
3.84,4014368,4,Ada,7,Layak
3.8,3242955,4,Ada,3,Layak
3.68,5003548,5,Tidak Ada,5,Layak
3.98,9481512,2,Ada,8,Layak
2.72,4098475,1,Ada,7,Layak
2.84,4459470,1,Ada,2,Layak
3.37,3147824,3,Ada,7,Layak
3.71,1734000,2,Ada,2,Layak
3.75,8644013,5,Tidak Ada,4,Tidak Layak
2.83,2208092,3,Ada,2,Layak
2.91,6317911,3,Tidak Ada,7,Tidak Layak
3.52,2671248,1,Tidak Ada,3,Layak
3.91,7934323,3,Tidak Ada,3,Tidak Layak
3.96,6277421,5,Ada,5,Layak
2.67,2078110,3,Ada,5,Layak
3.54,5843699,4,Ada,3,Layak
3.75,4406492,1,Ada,4,Layak
3.94,1622019,5,Tidak Ada,3,Layak
3.31,4745988,4,Tidak Ada,4,Layak
2.54,5790447,4,Ada,3,Layak
2.75,3320908,2,Ada,4,Layak
2.85,5870602,1,Ada,6,Layak
3.75,4550999,4,Ada,8,Layak
3.45,5427352,3,Tidak Ada,3,Tidak Layak
2.97,1859281,5,Ada,6,Layak
3.1,2585610,5,Ada,6,Layak
2.51,9095959,2,Ada,7,Tidak Layak
2.66,5787382,2,Tidak Ada,8,Tidak Layak
3.23,5567784,5,Tidak Ada,5,Tidak Layak
2.82,8125655,3,Ada,4,Tidak Layak
3.74,9696906,1,Tidak Ada,5,Tidak Layak
2.99,9266824,3,Ada,7,Tidak Layak
3.73,7700853,1,Tidak Ada,7,Tidak Layak
3.67,2803306,5,Ada,3,Layak
2.54,9945243,4,Ada,7,Tidak Layak
3.53,5922888,1,Ada,3,Layak
3.43,1585166,5,Ada,5,Layak
3.32,1797883,2,Ada,8,Layak
3.64,8270153,1,Tidak Ada,3,Tidak Layak
3.01,2686430,1,Ada,7,Layak
2.74,4159786,3,Ada,6,Layak
3.92,5822751,2,Tidak Ada,2,Layak
3.13,2914474,1,Ada,3,Layak
3.79,4457498,2,Tidak Ada,7,Layak
3.67,6681930,2,Tidak Ada,5,Tidak Layak
3.1,6414150,2,Tidak Ada,4,Tidak Layak
3.3,9921374,4,Tidak Ada,6,Tidak Layak
3.75,5628784,5,Ada,5,Layak
3.73,4553380,2,Tidak Ada,5,Layak
3.18,8014524,4,Ada,7,Layak
2.92,3701580,4,Tidak Ada,6,Tidak Layak
3.16,1569518,4,Ada,7,Layak
3.33,7542060,2,Ada,6,Layak
3.64,8183635,5,Tidak Ada,2,Tidak Layak
2.9,8800259,2,Tidak Ada,3,Tidak Layak
2.59,7021452,3,Ada,3,Tidak Layak
2.79,5277341,5,Tidak Ada,7,Tidak Layak
3.01,3270403,1,Ada,4,Layak
3.12,2006995,1,Tidak Ada,2,Layak
3.32,2027409,2,Ada,5,Layak
3.48,6222340,2,Tidak Ada,6,Tidak Layak
3.98,3193481,1,Tidak Ada,8,Layak
3.98,4581362,2,Tidak Ada,8,Layak
3.49,6581502,3,Ada,6,Layak
3.65,4797466,4,Tidak Ada,3,Layak
3.43,7095095,1,Tidak Ada,7,Tidak Layak
2.54,8318922,1,Ada,8,Tidak Layak
2.65,8499366,2,Ada,3,Tidak Layak
2.88,1692458,4,Tidak Ada,2,Layak
3.48,5396937,4,Tidak Ada,4,Layak
2.69,9934858,3,Ada,4,Tidak Layak
2.99,4517193,3,Ada,7,Layak
3.4,7936737,4,Tidak Ada,7,Tidak Layak
3.07,5571867,2,Tidak Ada,2,Tidak Layak
3.44,5728456,2,Ada,6,Layak
3.48,7497804,1,Tidak Ada,3,Tidak Layak
2.57,5002415,2,Tidak Ada,3,Tidak Layak
3.39,6732651,1,Tidak Ada,3,Tidak Layak
2.52,4846145,4,Ada,5,Layak
3.67,5675282,4,Tidak Ada,7,Layak
2.94,5100952,2,Ada,8,Layak
3.84,9396403,5,Ada,6,Layak
2.6,1642157,5,Tidak Ada,7,Layak
3.7,2962603,4,Ada,5,Layak
3.59,9345219,1,Tidak Ada,2,Tidak Layak
3.76,6673395,2,Tidak Ada,4,Tidak Layak
2.88,8708387,5,Tidak Ada,4,Tidak Layak
3.39,4156222,4,Tidak Ada,2,Layak
3.5,9621485,5,Ada,7,Layak
2.7,4372875,1,Ada,7,Layak
3.88,7300545,5,Ada,4,Layak
3.1,9694253,3,Ada,6,Tidak Layak
3.57,6342256,4,Ada,7,Layak
2.52,6812470,5,Ada,5,Layak
3.35,6783422,2,Ada,6,Layak
3.08,6719574,1,Tidak Ada,5,Tidak Layak
2.64,6291882,3,Ada,7,Layak
3.81,4477299,3,Ada,8,Layak
2.99,6037454,1,Ada,3,Layak
3.51,3206930,1,Ada,5,Layak
2.69,3078458,4,Tidak Ada,5,Tidak Layak
3.55,9083491,3,Tidak Ada,4,Tidak Layak
3.6,9345772,4,Ada,7,Layak
2.96,5508146,4,Tidak Ada,3,Tidak Layak
3.29,5848530,2,Ada,4,Layak
2.92,1906547,3,Tidak Ada,8,Layak
3.96,7977006,3,Tidak Ada,3,Tidak Layak
3.73,9275679,4,Tidak Ada,2,Tidak Layak
3.42,3515074,3,Tidak Ada,7,Layak
3.84,3302502,3,Ada,6,Layak
3.99,6709995,2,Tidak Ada,7,Tidak Layak
3.01,2232722,5,Ada,7,Layak
3.6,5375416,5,Tidak Ada,7,Layak
3.0,7538602,1,Ada,7,Tidak Layak
2.96,6379797,1,Ada,6,Layak
2.68,8398410,1,Tidak Ada,2,Tidak Layak
2.59,9088173,3,Tidak Ada,5,Tidak Layak
4.0,5188173,4,Ada,6,Layak
2.67,3480407,1,Ada,7,Layak
3.08,4193695,4,Tidak Ada,7,Layak
3.18,5356600,2,Ada,7,Layak
2.7,5067945,2,Ada,8,Layak
3.29,9375889,3,Tidak Ada,2,Tidak Layak
2.69,6299412,4,Tidak Ada,5,Tidak Layak
3.6,9229578,2,Tidak Ada,2,Tidak Layak
2.56,3063825,1,Ada,4,Layak
2.67,3024631,3,Tidak Ada,3,Tidak Layak
3.29,9095853,1,Tidak Ada,5,Tidak Layak
2.94,3444606,4,Ada,2,Layak
3.29,6771513,1,Tidak Ada,7,Tidak Layak
2.62,2687018,2,Tidak Ada,5,Tidak Layak
3.74,2073881,2,Ada,3,Layak
2.77,9109387,3,Ada,3,Tidak Layak
3.37,3113560,2,Ada,3,Layak
3.71,7143893,3,Ada,2,Layak
3.81,6604459,5,Ada,4,Layak
2.7,5805665,4,Ada,6,Layak
2.67,9251938,3,Tidak Ada,5,Tidak Layak
3.63,6529792,4,Ada,8,Layak
3.73,2328282,2,Tidak Ada,2,Layak
3.26,8813367,2,Tidak Ada,8,Tidak Layak
3.45,1817942,1,Ada,8,Layak
2.87,3930630,4,Tidak Ada,5,Tidak Layak
2.52,9114896,1,Tidak Ada,6,Tidak Layak
3.73,4227364,5,Tidak Ada,6,Layak
3.29,2402473,3,Ada,3,Layak
2.62,3335932,3,Ada,4,Layak
2.78,9978748,3,Tidak Ada,5,Tidak Layak
3.1,4730786,2,Tidak Ada,8,Tidak Layak
3.26,5121420,5,Ada,2,Layak
3.34,2614100,1,Ada,8,Layak
3.67,8728840,1,Ada,5,Layak
2.57,4327754,1,Ada,3,Layak
2.75,9851184,4,Tidak Ada,7,Tidak Layak
3.28,3699318,3,Tidak Ada,8,Layak
3.59,1920888,2,Tidak Ada,6,Layak
2.64,4696699,2,Ada,5,Layak
2.75,4628411,3,Tidak Ada,4,Tidak Layak
3.65,7429191,4,Tidak Ada,2,Tidak Layak
2.53,2611288,2,Tidak Ada,4,Tidak Layak
3.95,7823686,5,Ada,6,Layak
2.65,2967217,2,Tidak Ada,3,Tidak Layak
3.32,3902110,4,Ada,6,Layak
2.92,6550058,3,Ada,8,Layak
2.86,4413293,5,Tidak Ada,2,Tidak Layak
3.45,7520010,3,Tidak Ada,5,Tidak Layak
3.6,6195995,3,Ada,4,Layak
3.28,8230419,5,Tidak Ada,2,Tidak Layak
3.94,9042242,5,Tidak Ada,8,Tidak Layak
3.35,4005365,4,Tidak Ada,4,Layak
3.09,2347405,4,Ada,8,Layak
3.36,3468921,5,Ada,2,Layak
2.81,6869919,3,Ada,8,Layak
3.38,6502828,3,Tidak Ada,8,Tidak Layak
2.87,9858827,2,Tidak Ada,4,Tidak Layak
3.74,4224274,2,Ada,3,Layak
2.56,2018490,3,Ada,6,Layak
3.35,3403124,2,Tidak Ada,6,Layak
3.23,3087542,4,Ada,7,Layak
3.13,8556784,4,Ada,3,Layak
2.93,7734408,3,Ada,6,Layak
3.6,3685132,3,Tidak Ada,3,Layak
3.91,8278519,3,Tidak Ada,2,Tidak Layak
3.04,3112119,5,Ada,7,Layak
3.46,4083677,3,Tidak Ada,2,Layak
2.97,9954364,3,Ada,4,Tidak Layak
3.42,9391784,1,Tidak Ada,4,Tidak Layak
2.75,7875247,4,Tidak Ada,8,Tidak Layak
3.08,3416796,5,Tidak Ada,6,Layak
3.14,8137034,2,Tidak Ada,7,Tidak Layak
3.57,5162097,4,Tidak Ada,5,Layak
3.04,4646243,1,Ada,2,Layak
2.94,3100720,3,Ada,5,Layak
3.56,5175049,5,Tidak Ada,6,Layak
2.93,5134183,3,Tidak Ada,8,Tidak Layak
2.85,5412669,5,Ada,4,Layak
